Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession,Instrument,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,ReleaseDate,sample_acc,Sample Name,sex,source_name,SRA Study,strain
SRR2727060,RNA-Seq,43,199516345,PRJNA299180,SAMN04194634,209447032,ES2i,GEO,public,sra,"s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX1354807,GSM1911863,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,199,199,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121734,GSM1911863,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727061,RNA-Seq,43,238751996,PRJNA299180,SAMN04194635,252370940,ES2i,GEO,public,sra,"ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX1354808,GSM1911864,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,238,240,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121733,GSM1911864,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727062,RNA-Seq,43,253876601,PRJNA299180,SAMN04194636,267130860,ES2i,GEO,public,sra,"gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX1354809,GSM1911865,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,253,254,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121732,GSM1911865,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727063,RNA-Seq,43,98456756,PRJNA299180,SAMN04194637,104940620,ES2i,GEO,public,sra,"gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX1354810,GSM1911866,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,98,100,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121731,GSM1911866,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727064,RNA-Seq,43,220776749,PRJNA299180,SAMN04194638,231994610,ES2i,GEO,public,sra,"ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX1354811,GSM1911867,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,220,221,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121727,GSM1911867,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727065,RNA-Seq,43,137778665,PRJNA299180,SAMN04194639,145427232,ES2i,GEO,public,sra,"s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX1354812,GSM1911868,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,137,138,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121725,GSM1911868,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727066,RNA-Seq,43,70725067,PRJNA299180,SAMN04194640,75421600,ES2i,GEO,public,sra,"s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX1354813,GSM1911869,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,70,71,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121724,GSM1911869,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727067,RNA-Seq,43,205200773,PRJNA299180,SAMN04194641,236920947,ES2i,GEO,public,sra,"ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX1354814,GSM1911870,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,205,225,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121730,GSM1911870,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727068,RNA-Seq,43,320238458,PRJNA299180,SAMN04194642,343801010,ES2i,GEO,public,sra,"s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX1354815,GSM1911871,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,320,327,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121729,GSM1911871,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727069,RNA-Seq,43,334260887,PRJNA299180,SAMN04194643,358128586,ES2i,GEO,public,sra,"s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX1354816,GSM1911872,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,334,341,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121723,GSM1911872,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727070,RNA-Seq,43,260714934,PRJNA299180,SAMN04194644,280210169,ES2i,GEO,public,sra,"s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX1354817,GSM1911873,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,260,267,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121722,GSM1911873,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727071,RNA-Seq,43,189451765,PRJNA299180,SAMN04194645,204653322,ES2i,GEO,public,sra,"gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX1354818,GSM1911874,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,189,195,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121726,GSM1911874,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727072,RNA-Seq,43,153252086,PRJNA299180,SAMN04194646,166418667,ES2i,GEO,public,sra,"gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX1354819,GSM1911875,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,153,158,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121728,GSM1911875,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727073,RNA-Seq,43,147081801,PRJNA299180,SAMN04194647,160931084,ES2i,GEO,public,sra,"s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX1354820,GSM1911876,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,147,153,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121721,GSM1911876,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727074,RNA-Seq,43,315535935,PRJNA299180,SAMN04194708,342278644,ES2i,GEO,public,sra,"s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX1354821,GSM1911877,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,315,326,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121720,GSM1911877,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727075,RNA-Seq,43,118983279,PRJNA299180,SAMN04194709,136065281,ES2i,GEO,public,sra,"gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX1354822,GSM1911878,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,118,129,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121718,GSM1911878,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727076,RNA-Seq,43,348790243,PRJNA299180,SAMN04194710,368962454,ES2i,GEO,public,sra,"s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX1354823,GSM1911879,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,348,351,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121717,GSM1911879,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727077,RNA-Seq,43,135235430,PRJNA299180,SAMN04194711,151375603,ES2i,GEO,public,sra,"s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX1354824,GSM1911880,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,135,144,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121716,GSM1911880,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727078,RNA-Seq,43,66679455,PRJNA299180,SAMN04194712,75642040,ES2i,GEO,public,sra,"s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX1354825,GSM1911881,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,66,72,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121719,GSM1911881,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727079,RNA-Seq,43,82524826,PRJNA299180,SAMN04194713,92801312,ES2i,GEO,public,sra,"gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX1354826,GSM1911882,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,82,88,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121714,GSM1911882,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727080,RNA-Seq,43,54145084,PRJNA299180,SAMN04194714,64168510,ES2i,GEO,public,sra,"gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX1354827,GSM1911883,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,54,61,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121715,GSM1911883,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727081,RNA-Seq,43,87197292,PRJNA299180,SAMN04194715,96421121,ES2i,GEO,public,sra,"s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX1354828,GSM1911884,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,87,91,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121712,GSM1911884,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727082,RNA-Seq,43,166991575,PRJNA299180,SAMN04194716,180868021,ES2i,GEO,public,sra,"s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX1354829,GSM1911885,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,166,172,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121711,GSM1911885,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727083,RNA-Seq,43,180759702,PRJNA299180,SAMN04194717,194495152,ES2i,GEO,public,sra,"gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX1354830,GSM1911886,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,180,185,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121713,GSM1911886,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727084,RNA-Seq,43,146315756,PRJNA299180,SAMN04194718,156621203,ES2i,GEO,public,sra,"s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX1354831,GSM1911887,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,146,149,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121710,GSM1911887,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727085,RNA-Seq,43,89520926,PRJNA299180,SAMN04194719,97337869,ES2i,GEO,public,sra,"s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX1354832,GSM1911888,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,89,92,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121709,GSM1911888,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727087,RNA-Seq,43,35032616,PRJNA299180,SAMN04194721,38600724,ES2i,GEO,public,sra,"s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX1354834,GSM1911890,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,35,36,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121706,GSM1911890,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727088,RNA-Seq,43,72285494,PRJNA299180,SAMN04194722,80005639,ES2i,GEO,public,sra,"ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX1354835,GSM1911891,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,72,76,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121707,GSM1911891,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727089,RNA-Seq,43,114662166,PRJNA299180,SAMN04194723,138911522,ES2i,GEO,public,sra,"ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX1354836,GSM1911892,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,114,132,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121705,GSM1911892,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727090,RNA-Seq,43,386636392,PRJNA299180,SAMN04194724,410755784,ES2i,GEO,public,sra,"ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX1354837,GSM1911893,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,386,391,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121704,GSM1911893,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727092,RNA-Seq,43,352945075,PRJNA299180,SAMN04194726,375220026,ES2i,GEO,public,sra,"s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX1354839,GSM1911895,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,352,357,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121702,GSM1911895,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727093,RNA-Seq,43,116660032,PRJNA299180,SAMN04194727,130987490,ES2i,GEO,public,sra,"s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX1354840,GSM1911896,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,116,124,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121701,GSM1911896,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727094,RNA-Seq,43,153107348,PRJNA299180,SAMN04194728,165757657,ES2i,GEO,public,sra,"gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX1354841,GSM1911897,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,153,158,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121700,GSM1911897,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727095,RNA-Seq,43,107755377,PRJNA299180,SAMN04194729,118385536,ES2i,GEO,public,sra,"s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX1354842,GSM1911898,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,107,112,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121698,GSM1911898,male,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727096,RNA-Seq,43,107188250,PRJNA299180,SAMN04194730,121599437,ES2i,GEO,public,sra,"gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX1354843,GSM1911899,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,107,115,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121697,GSM1911899,female,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727097,RNA-Seq,43,159313796,PRJNA299180,SAMN04194731,178709758,ES2i,GEO,public,sra,"ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX1354844,GSM1911900,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,159,170,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121696,GSM1911900,female,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727098,RNA-Seq,43,127517618,PRJNA299180,SAMN04194732,143819938,ES2i,GEO,public,sra,"s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX1354845,GSM1911901,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,127,137,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121695,GSM1911901,female,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727099,RNA-Seq,43,137585724,PRJNA299180,SAMN04194733,155115221,ES2i,GEO,public,sra,"ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX1354846,GSM1911902,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,137,147,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121694,GSM1911902,female,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727100,RNA-Seq,43,129307235,PRJNA299180,SAMN04194734,146228383,ES2i,GEO,public,sra,"gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX1354847,GSM1911903,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,129,139,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121693,GSM1911903,female,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727101,RNA-Seq,43,161879563,PRJNA299180,SAMN04194678,181454207,ES2i,GEO,public,sra,"ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX1354848,GSM1911904,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,161,173,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121692,GSM1911904,female,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727102,RNA-Seq,43,50138946,PRJNA299180,SAMN04194679,58307391,ES2i,GEO,public,sra,"gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX1354849,GSM1911905,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,50,55,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121691,GSM1911905,female,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727103,RNA-Seq,43,54011182,PRJNA299180,SAMN04194680,62922794,ES2i,GEO,public,sra,"ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX1354850,GSM1911906,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,54,60,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121690,GSM1911906,female,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727104,RNA-Seq,43,96601048,PRJNA299180,SAMN04194681,109676156,ES2i,GEO,public,sra,"gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX1354851,GSM1911907,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,96,104,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121689,GSM1911907,female,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727105,RNA-Seq,43,93976156,PRJNA299180,SAMN04194682,106859563,ES2i,GEO,public,sra,"gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX1354852,GSM1911908,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,93,101,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121688,GSM1911908,female,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727106,RNA-Seq,43,65171015,PRJNA299180,SAMN04194683,74727666,ES2i,GEO,public,sra,"s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX1354853,GSM1911909,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,65,71,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121687,GSM1911909,female,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727107,RNA-Seq,43,111579023,PRJNA299180,SAMN04194684,126687956,ES2i,GEO,public,sra,"gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX1354854,GSM1911910,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,111,120,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121686,GSM1911910,female,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727108,RNA-Seq,43,144125207,PRJNA299180,SAMN04194685,162340833,ES2i,GEO,public,sra,"gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX1354855,GSM1911911,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,144,154,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121685,GSM1911911,female,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
SRR2727109,RNA-Seq,43,58031510,PRJNA299180,SAMN04194686,67542981,ES2i,GEO,public,sra,"s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX1354856,GSM1911912,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,58,64,Mus musculus,ILLUMINA,2016-07-27T00:00:00Z,SRS1121684,GSM1911912,female,embryo,SRP064979,male CAST/EiJ x female C57BL/6J
